code|mean|std|n_pos|total
7021|-1.0|-1.0|1|11
701417|-1.0|-1.0|1|11
690487|-1.0|-1.0|1|11
68965|-1.0|-1.0|1|11
68338|-1.0|-1.0|1|11
744441|-1.0|-1.0|1|11
67702|-1.0|-1.0|4|44
80614|-1.0|-1.0|1|11
80937|-1.0|-1.0|1|11
98426|-1.0|-1.0|1|11
97287|-1.0|-1.0|1|11
96644|-1.0|-1.0|1|11
96610|-1.0|-1.0|1|11
96107|-1.0|-1.0|1|11
95976|-1.0|-1.0|1|11
95927|-1.0|-1.0|1|11
908947|-1.0|-1.0|1|11
885178|-1.0|-1.0|1|11
884486|-1.0|-1.0|1|11
884478|-1.0|-1.0|1|11
882934|-1.0|-1.0|3|33
82537|-1.0|-1.0|1|11
825232|-1.0|-1.0|1|11
80689|-1.0|-1.0|1|11
825216|-1.0|-1.0|3|33
823807|-1.0|-1.0|1|11
823765|-1.0|-1.0|2|22
82362|-1.0|-1.0|3|33
82206|-1.0|-1.0|3|33
82198|-1.0|-1.0|2|22
81729|-1.0|-1.0|1|11
81380|-1.0|-1.0|2|22
81372|-1.0|-1.0|1|11
81299|-1.0|-1.0|1|11
81174|-1.0|-1.0|2|22
81166|-1.0|-1.0|2|22
81125|-1.0|-1.0|2|22
80994|-1.0|-1.0|1|11
80945|-1.0|-1.0|1|11
825141|-1.0|-1.0|1|11
661496|-1.0|-1.0|1|11
64717|-1.0|-1.0|1|11
64204|-1.0|-1.0|1|11
56432|-1.0|-1.0|4|44
56390|-1.0|-1.0|1|11
557520|-1.0|-1.0|2|22
551598|-1.0|-1.0|2|22
550513|-1.0|-1.0|1|11
54031|-1.0|-1.0|1|11
53728|-1.0|-1.0|1|11
53587|-1.0|-1.0|2|22
533265|-1.0|-1.0|1|11
533182|-1.0|-1.0|1|11
533166|-1.0|-1.0|1|11
531152|-1.0|-1.0|1|11
530170|-1.0|-1.0|1|11
52472|-1.0|-1.0|4|44
56457|-1.0|-1.0|3|33
52449|-1.0|-1.0|1|11
52092|-1.0|-1.0|1|11
51995|-1.0|-1.0|3|33
519140|-1.0|-1.0|3|33
51912|-1.0|-1.0|1|11
51896|-1.0|-1.0|2|22
51813|-1.0|-1.0|1|11
51797|-1.0|-1.0|2|22
516492|-1.0|-1.0|2|22
51599|-1.0|-1.0|1|11
51573|-1.0|-1.0|1|11
514877|-1.0|-1.0|4|44
514869|-1.0|-1.0|1|11
514802|-1.0|-1.0|4|44
514786|-1.0|-1.0|4|44
521302|-1.0|-1.0|1|11
56853|-1.0|-1.0|1|11
57687|-1.0|-1.0|1|11
577478|-1.0|-1.0|2|22
640847|-1.0|-1.0|1|11
634642|-1.0|-1.0|1|11
63313|-1.0|-1.0|1|11
6304|-1.0|-1.0|1|11
63032|-1.0|-1.0|1|11
62992|-1.0|-1.0|1|11
62810|-1.0|-1.0|1|11
62760|-1.0|-1.0|2|22
62489|-1.0|-1.0|1|11
62372|-1.0|-1.0|1|11
622928|-1.0|-1.0|4|44
622910|-1.0|-1.0|2|22
61895|-1.0|-1.0|1|11
61747|-1.0|-1.0|1|11
60855|-1.0|-1.0|2|22
60822|-1.0|-1.0|1|11
60756|-1.0|-1.0|1|11
57828|-1.0|-1.0|4|44
57844|-1.0|-1.0|4|44
57943|-1.0|-1.0|3|33
58040|-1.0|-1.0|3|33
58131|-1.0|-1.0|1|11
583591|-1.0|-1.0|1|11
514356|-1.0|-1.0|3|33
584292|-1.0|-1.0|1|11
594192|-1.0|-1.0|1|11
59469|-1.0|-1.0|1|11
59592|-1.0|-1.0|1|11
596155|-1.0|-1.0|1|11
597054|-1.0|-1.0|3|33
602565|-1.0|-1.0|4|44
58941|-1.0|-1.0|1|11
265082|-1.0|-1.0|2|22
31427|-1.0|-1.0|3|33
183962|-1.0|-1.0|2|22
17435|-1.0|-1.0|1|11
226381|-1.0|-1.0|2|22
226357|-1.0|-1.0|4|44
225805|-1.0|-1.0|1|11
17541|-1.0|-1.0|1|11
177915|-1.0|-1.0|3|33
174334|-1.0|-1.0|2|22
178111|-1.0|-1.0|2|22
223198|-1.0|-1.0|1|11
178152|-1.0|-1.0|3|33
178194|-1.0|-1.0|3|33
223164|-1.0|-1.0|1|11
178640|-1.0|-1.0|2|22
223123|-1.0|-1.0|1|11
178137|-1.0|-1.0|1|11
170886|-1.0|-1.0|2|22
169987|-1.0|-1.0|2|22
169573|-1.0|-1.0|2|22
162297|-1.0|-1.0|1|11
238717|-1.0|-1.0|2|22
162339|-1.0|-1.0|1|11
162354|-1.0|-1.0|1|11
162370|-1.0|-1.0|1|11
162503|-1.0|-1.0|1|11
162511|-1.0|-1.0|1|11
163485|-1.0|-1.0|2|22
163626|-1.0|-1.0|2|22
16493|-1.0|-1.0|3|33
236562|-1.0|-1.0|1|11
169151|-1.0|-1.0|2|22
169359|-1.0|-1.0|3|33
169490|-1.0|-1.0|3|33
23390|-1.0|-1.0|3|33
18093|-1.0|-1.0|1|11
162289|-1.0|-1.0|1|11
182824|-1.0|-1.0|3|33
218404|-1.0|-1.0|2|22
20917|-1.0|-1.0|3|33
195933|-1.0|-1.0|1|11
19596|-1.0|-1.0|1|11
19620|-1.0|-1.0|1|11
196428|-1.0|-1.0|4|44
206649|-1.0|-1.0|1|11
194290|-1.0|-1.0|2|22
196618|-1.0|-1.0|1|11
206060|-1.0|-1.0|1|11
197681|-1.0|-1.0|1|11
19869|-1.0|-1.0|1|11
205450|-1.0|-1.0|1|11
205211|-1.0|-1.0|3|33
20008|-1.0|-1.0|2|22
206243|-1.0|-1.0|3|33
192997|-1.0|-1.0|1|11
192831|-1.0|-1.0|1|11
21188|-1.0|-1.0|1|11
216960|-1.0|-1.0|1|11
18416|-1.0|-1.0|3|33
21642|-1.0|-1.0|2|22
21626|-1.0|-1.0|2|22
18846|-1.0|-1.0|2|22
216135|-1.0|-1.0|2|22
191130|-1.0|-1.0|4|44
191395|-1.0|-1.0|3|33
191411|-1.0|-1.0|1|11
214825|-1.0|-1.0|2|22
21436|-1.0|-1.0|1|11
214163|-1.0|-1.0|1|11
191502|-1.0|-1.0|2|22
191619|-1.0|-1.0|2|22
191957|-1.0|-1.0|2|22
183095|-1.0|-1.0|1|11
162057|-1.0|-1.0|1|11
240077|-1.0|-1.0|1|11
241083|-1.0|-1.0|2|22
115808|-1.0|-1.0|4|44
122275|-1.0|-1.0|1|11
122358|-1.0|-1.0|1|11
25395|-1.0|-1.0|1|11
